COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run,number,sent_edtm,sent_edtm_PS,time,tot_events
,249855,,0.998035570131104,0.001669404207101,56447,15147101,17,0.99267741441759,0.00100619842249,0.9975,0.0023,,129,,17,,,25,115683591,129,0.99267741441759,0.00100619842249,0.9887,0.0024,6627,79836.5922567021,0.997499804104511,587307.32927645,584050.140811848,3310,524347.33167484,489119.664222195,3317,12181,105637,6984.6625626995,1174.159531,1784882,
,197358,,0.998486494369777,0.001355356061876,83420,11876377,9,0.994253398898443,0.000947014817098,0.9978,0.0019,,65,,9,,,88,90777798,65,0.994253398898443,0.000947014817098,0.9895,0.0019,12635,62449.8089933979,0.996820769559263,867009.398629765,860613.429855701,6154,811829.805316405,759426.651369126,6482,12184,105073,13111.6735042735,1167.896081,2712069,
,161901,,0.998752335301742,0.001565829942478,65041,8914461,9,0.995836226848268,0.000866475978861,0.9978,0.0022,,65,,9,,,86,67951680,65,0.995836226848268,0.000866475978861,0.9904,0.0022,13288,46863.3859969154,0.99563380801542,647200.92602868,642586.244347755,6472,604597.480817326,567899.773976234,6817,12185,108286,13512.611965812,1203.614943,2033367,
,83913,,0.998473413553198,0.001443607712334,69789,5566580,5,0.997398632489906,0.000769812074284,0.9979,0.0021,,33,,5,,,195,42559717,33,0.997398632489906,0.000769812074284,0.9908,0.002,13269,29379.1467084291,0.993028807761076,729986.885846618,725460.596821622,6169,739874.754081138,695110.318081402,7103,12186,60203,13500.0666666667,1204.751056,2399337,
,50295,,0.998408449602903,0.001504356655069,105448,3998635,3,0.99812426606448,0.000709554834795,0.9979,0.0019,,33,,3,,,139,30637220,33,0.99812426606448,0.000709554834795,0.9909,0.0024,12787,21196.3572772417,0.990336107791977,876022.21575241,870537.589601089,7564,536805.087794398,504720.977346286,5224,12187,36167,12786.3131313131,1204.937129,2260300,
,29856,,0.999264466509239,0.001706461599808,43188,2228045,3,0.99895477560864,0.000613041147323,0.9978,0.0026,,17,,3,,,272,17056722,17,0.99895477560864,0.000613041147323,0.9915,0.0023,8777,11865.7702396129,0.982693208385712,489316.578764477,486416.196771434,3752,573954.72066009,540030.810083099,5026,12189,24076,8969.49019607843,1207.990664,1747733,
,14209,,0.997411886609941,0.001354484219019,59219,1112716,1,0.999470332925581,0.000519490704981,0.9979,0.0021,,5,,1,,,1400,8491832,5,0.999470332925581,0.000519490704981,0.9914,0.0017,11985,5990.94795399409,0.965832667691007,730152.778238868,726106.064964826,4746,965356.548960387,910668.145631574,7261,12190,12016,12016,1204.086527,2803808,
,76369,,0.997458981760078,0.003531869085522,13537,3386918,17,0.992669428084034,0.001466007056935,0.9974,0.0046,,129,,17,,,15,25770252,129,0.992669428084034,0.001466007056935,0.9889,0.0047,2972,17751.1676676553,0.997503111153034,135202.330010093,134394.000218628,1474,121339.328900567,113130.17707918,1500,12191,44277,2927.57181942545,260.721721,411123,
