Physics_Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error,Total Effective Charge,Total Effective Charge Error,Normfactor
Q3p85_W2p62_t0p21_loweps_left,data,16319.0,217.591,0.475741255015465,0.9962,0.0006,0.9857,0.0019,0.9981,0.0001,0.9981,0.0001,0.997032,0.0006,0.97583,0.0019,0.9952,0.0003,0.98019588,0.059546640561488826,NA,NA,202.01649703331356,12.294248536020135,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16320.0,40.891,0.08980209236438794,0.9949,0.0017,0.983,0.0047,0.9981,0.0001,0.9981,0.0001,0.997115,0.0017,0.973098,0.0047,0.9943,0.0007,0.98103028,0.0595973301412309,NA,NA,37.7060008161578,2.3083601595162277,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16321.0,211.632,0.4637209915330345,0.9965,0.0004,0.985,0.002,0.9981,0.0001,0.9981,0.0001,0.997051,0.0004,0.974413,0.002,0.9946,0.0004,0.98061756,0.05957225751017164,NA,NA,196.0882382158043,11.934303057377582,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16323.0,248.132,0.5404424088478379,0.9963,0.0004,0.9872,0.0017,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.975189,0.0017,0.9945,0.0004,0.9793878,0.059497549914838584,NA,NA,230.29457433002722,14.011646017312083,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16325.0,237.726,0.5177946091340723,0.9959,0.0004,0.9883,0.0017,0.9981,0.0001,0.9981,0.0001,0.997182,0.0004,0.974796,0.0017,0.9932,0.0004,0.97939508,0.059497992172916354,NA,NA,220.4002687150206,13.409648045824575,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16326.0,257.213,0.5587202690169519,0.9963,0.0004,0.9834,0.0019,0.9981,0.0001,0.9981,0.0001,0.997261,0.0004,0.974814,0.0019,0.9942,0.0004,0.97876312,0.05945960076978991,NA,NA,237.48889614820405,14.452296462389352,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16327.0,257.757,0.5614038478295855,0.9964,0.0004,0.9863,0.0017,0.9981,0.0001,0.9981,0.0001,0.997126,0.0004,0.974868,0.0017,0.9943,0.0004,0.97938696,0.059497498885060375,NA,NA,238.87403403099435,14.53365450538772,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16328.0,235.564,0.5144914073736043,0.9961,0.0004,0.989,0.0016,0.9981,0.0001,0.9981,0.0001,0.997204,0.0004,0.975251,0.0016,0.9959,0.0003,0.97998112,0.05953359394818635,NA,NA,219.4270277849533,13.349105072174993,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16330.0,235.411,0.5133225867367239,0.9959,0.0004,0.9876,0.0017,0.9981,0.0001,0.9981,0.0001,0.997191,0.0004,0.975215,0.0017,0.9949,0.0004,0.97963896,0.059512807818523375,NA,NA,218.62301497464432,13.301536746309898,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16331.0,235.152,0.5129172685123198,0.9969,0.0004,0.9887,0.0017,0.9981,0.0001,0.9981,0.0001,0.996967,0.0004,0.975305,0.0017,0.9939,0.0004,0.9797056,0.05951685618092859,NA,NA,218.6112125731738,13.300811261295323,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16332.0,274.274,0.5969646046509729,0.9961,0.0004,0.9892,0.0015,0.9981,0.0001,0.9981,0.0001,0.997385,0.0004,0.975325,0.0015,0.9942,0.0003,0.97923044,0.05948799033638887,NA,NA,254.9709207215028,15.510041757484007,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16394.0,246.561,0.5361119931229237,0.9964,0.0004,0.9909,0.0014,0.9981,0.0001,0.9981,0.0001,0.997013,0.0004,0.975137,0.0014,0.9937,0.0004,0.97899972,0.05947397415731177,NA,NA,229.37197553778267,13.951812879482022,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16395.0,240.352,0.522098803154234,0.997,0.0004,0.9884,0.0016,0.9981,0.0001,0.9981,0.0001,0.99716,0.0004,0.976011,0.0016,0.9943,0.0004,0.97876508,0.059459719839272326,NA,NA,223.48028347751406,13.595723061861188,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16396.0,71.837,0.15607102519820973,0.9967,0.0007,0.9864,0.0032,0.9981,0.0001,0.9981,0.0001,0.997243,0.0007,0.977094,0.0032,0.9943,0.0006,0.97880372,0.059462067209068624,NA,NA,66.72125613899253,4.0682848523049495,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16397.0,130.987,0.2842377761871397,0.9968,0.0005,0.9892,0.0022,0.9981,0.0001,0.9981,0.0001,0.99594,0.0005,0.975181,0.0022,0.9945,0.0005,0.9785086,0.05944413874700291,NA,NA,121.60635874780893,7.403072524390889,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,data,16398.0,187.087,0.4073104863719127,0.9967,0.0004,0.9881,0.0019,0.9981,0.0001,0.9981,0.0001,0.997161,0.0004,0.975227,0.0019,0.9946,0.0004,0.97929232,0.05949174953004955,NA,NA,173.85568011726153,10.579896275145535,3089.5362393631563,49.300460380248445,0.00032367317374666215
Q3p85_W2p62_t0p21_loweps_left,dummy,16333.0,114.295,0.27903415125925257,0.9965,0.0005,0.9922,0.0013,0.9981,0.0001,0.9981,0.0001,0.997245,0.0005,0.984247,0.0013,0.9994,0.0001,NA,NA,3.527,0.227,110.43257050804752,0.22087765468775858,850.0197515879212,54.71815122380216,0.00117644325103258
Q3p85_W2p62_t0p21_loweps_left,dummy,16334.0,78.199,0.1896745252271798,0.9963,0.0006,0.9953,0.0012,0.9981,0.0001,0.9981,0.0001,0.997505,0.0006,0.985173,0.0012,0.9998,0.0001,NA,NA,3.527,0.227,75.89866892963447,0.14597398936611844,850.0197515879212,54.71815122380216,0.00117644325103258
Q3p85_W2p62_t0p21_loweps_left,dummy,16335.0,56.367,0.13708057430548112,0.9962,0.0007,0.9928,0.0017,0.9981,0.0001,0.9981,0.0001,0.997383,0.0007,0.987412,0.0017,0.9996,0.0002,NA,NA,3.527,0.227,54.67237598276632,0.14414235420334165,850.0197515879212,54.71815122380216,0.00117644325103258
Q3p85_W2p62_t0p21_higheps_right,data,15055.0,83.878,0.20789495811310835,0.996,0.0002,0.9876,0.0018,0.9981,0.0001,0.9981,0.0001,0.998223,0.0002,0.991975,0.0018,0.9962,0.0002,0.98993596,0.06013834785746696,NA,NA,80.26358146684215,4.884504788945177,463.78686613451157,12.690540130150648,0.002156162826115846
Q3p85_W2p62_t0p21_higheps_right,data,15056.0,112.259,0.27509292706522215,0.9951,0.0002,0.9902,0.0015,0.9981,0.0001,0.9981,0.0001,0.998277,0.0002,0.992166,0.0015,0.9954,0.0003,0.989535,0.0601139896423454,NA,NA,107.50363036180747,6.540345670548808,463.78686613451157,12.690540130150648,0.002156162826115846
Q3p85_W2p62_t0p21_higheps_right,data,15057.0,93.953,0.22735069716321996,0.9952,0.0002,0.9898,0.0016,0.9981,0.0001,0.9981,0.0001,0.998097,0.0002,0.991871,0.0016,0.9957,0.0003,0.9890422,0.06008405217141296,NA,NA,89.88513030759684,5.468823285924513,463.78686613451157,12.690540130150648,0.002156162826115846
Q3p85_W2p62_t0p21_higheps_right,data,15058.0,106.389,0.2562852828474353,0.9815,0.0004,0.9892,0.0015,0.9981,0.0001,0.9981,0.0001,0.998273,0.0004,0.992215,0.0015,0.9946,0.0004,0.98885124,0.06007245140146974,NA,NA,100.24293648450762,6.098715256803104,463.78686613451157,12.690540130150648,0.002156162826115846
Q3p85_W2p62_t0p21_higheps_right,data,15059.0,91.616,0.2211068093714239,0.975,0.0005,0.99,0.0016,0.9981,0.0001,0.9981,0.0001,0.99827,0.0005,0.992156,0.0016,0.9954,0.0004,0.9889304800000001,0.06007726521069567,NA,NA,85.89158751375746,5.226178752706034,463.78686613451157,12.690540130150648,0.002156162826115846
Q3p85_W2p62_t0p21_higheps_right,dummy,15061.0,39.332,0.09805466185253542,0.9704,0.0008,0.9918,0.0013,0.9981,0.0001,0.9981,0.0001,0.998809,0.0008,0.994913,0.0013,0.9995,0.0002,NA,NA,3.527,0.227,37.455826490448985,0.08220641335792245,132.10670003181357,8.507414819754047,0.007569638782583947
Q3p85_W2p62_t0p21_higheps_center,data,15103.0,56.121,0.13683115624513825,0.9906,0.0004,0.9933,0.0013,0.9981,0.0001,0.9981,0.0001,0.99806,0.0004,0.99331,0.0013,0.9982,0.0001,0.98934376,0.0601023718624122,NA,NA,53.85902829922573,3.2762294332850628,427.50262644085973,12.073840692420621,0.0023391669153600835
Q3p85_W2p62_t0p21_higheps_center,data,15104.0,99.236,0.24161657478130816,0.9945,0.0002,0.9923,0.0011,0.9981,0.0001,0.9981,0.0001,0.998257,0.0002,0.993599,0.0011,0.9979,0.0002,0.98928972,0.060099088946564704,NA,NA,95.52766652205703,5.809978063435505,427.50262644085973,12.073840692420621,0.0023391669153600835
Q3p85_W2p62_t0p21_higheps_center,data,15106.0,113.578,0.2769511204851726,0.9937,0.0002,0.9908,0.0011,0.9981,0.0001,0.9981,0.0001,0.998246,0.0002,0.993647,0.0011,0.9984,0.0002,0.98934796,0.06010262701131235,NA,NA,109.145781560362,6.638248976163896,427.50262644085973,12.073840692420621,0.0023391669153600835
Q3p85_W2p62_t0p21_higheps_center,data,15107.0,113.13,0.2757054326180713,0.9934,0.0003,0.9931,0.001,0.9981,0.0001,0.9981,0.0001,0.998325,0.0003,0.993818,0.001,0.998,0.0002,0.9893264,0.06010131724695838,NA,NA,108.91607459010277,6.623976084492827,427.50262644085973,12.073840692420621,0.0023391669153600835
Q3p85_W2p62_t0p21_higheps_center,data,15108.0,62.268,0.15176097914607767,0.9955,0.0003,0.9931,0.0013,0.9981,0.0001,0.9981,0.0001,0.998169,0.0003,0.993619,0.0013,0.998,0.0003,0.9893289200000001,0.06010147033629844,NA,NA,60.054075469112206,3.653039286861418,427.50262644085973,12.073840692420621,0.0023391669153600835
Q3p85_W2p62_t0p21_higheps_center,dummy,15102.0,49.036,0.12209005818142622,0.9864,0.0005,0.9936,0.0011,0.9981,0.0001,0.9981,0.0001,0.998731,0.0005,0.995258,0.0011,0.9992,0.0002,NA,NA,3.527,0.227,47.551522515531516,0.08265264507011895,167.71421991227967,10.79813133819409,0.005962523634090386
Q3p85_W2p62_t0p21_higheps_left,data,15110.0,72.136,0.17729553841628146,0.9949,0.0003,0.9929,0.0014,0.9981,0.0001,0.9981,0.0001,0.998274,0.0003,0.994296,0.0014,0.999,0.0001,0.98964336,0.06012057248398892,NA,NA,69.66181171630761,4.237793827516581,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15113.0,107.494,0.2649008391242298,0.9936,0.0003,0.9934,0.0012,0.9981,0.0001,0.9981,0.0001,0.99831,0.0003,0.994245,0.0012,0.999,0.0002,0.989738,0.06012632183923043,NA,NA,103.73197428706764,6.30956574313417,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15114.0,93.285,0.23190457177874435,0.9947,0.0003,0.9931,0.0012,0.9981,0.0001,0.9981,0.0001,0.998341,0.0003,0.99461,0.0012,0.999,0.0001,0.99003564,0.06014440339141527,NA,NA,90.15567567472469,5.483835275768699,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15115.0,91.784,0.23047578147367787,0.9949,0.0002,0.9927,0.0013,0.9981,0.0001,0.9981,0.0001,0.998343,0.0002,0.993938,0.0013,0.9994,0.0001,0.99035316,0.06016369264849377,NA,NA,88.69130664674492,5.395152831684015,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15116.0,64.563,0.16652555485999845,0.9951,0.0003,0.9945,0.0013,0.9981,0.0001,0.9981,0.0001,0.998225,0.0003,0.994349,0.0013,0.9988,0.0001,0.99109516,0.060208768955161356,NA,NA,62.5409537120313,3.804635287047353,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15117.0,22.781,0.05999147938003721,0.9931,0.0006,0.993,0.0025,0.9981,0.0001,0.9981,0.0001,0.99835,0.0006,0.993504,0.0025,0.9979,0.0002,0.99158656,0.06023862137755297,NA,NA,21.96510189060878,1.3380555335133864,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15118.0,60.008,0.1460387151115122,0.9931,0.0004,0.9934,0.0015,0.9981,0.0001,0.9981,0.0001,0.998326,0.0004,0.994225,0.0015,0.9988,0.0001,0.9892718,0.06009800031125822,NA,NA,57.83964588847727,3.518895857902188,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,data,15119.0,41.789,0.09989910912120627,0.9946,0.0004,0.9956,0.0014,0.9981,0.0001,0.9981,0.0001,0.998059,0.0004,0.994549,0.0014,0.9985,0.0003,0.9885074,0.06005156321165484,NA,NA,40.38813758452595,2.4569258919867467,534.9746074004881,12.313991837586657,0.0018692475982348606
Q3p85_W2p62_t0p21_higheps_left,dummy,15121.0,44.264,0.10795608585332125,0.991,0.0004,0.9953,0.001,0.9981,0.0001,0.9981,0.0001,0.998826,0.0004,0.994046,0.001,0.9997,0.0001,NA,NA,3.527,0.227,43.171032925827916,0.06659678676191587,152.26423312939505,9.802639010218082,0.00656753053194176
