(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
6212.0,11122.0,4235870.0,9094.0,14001.0,1411963.0,28.217,47.543,28.247,32.007,593.51,591.507,9.171305,0.9981,0.0005,0.011,8776.0,31.645,0.9973,0.0002,0.9886,0.0026,1.0,0.0,0.9864,0.0031,0.9982,0.001,1.0,0.0,0.9978,0.0013,0.019,0.9985,0.0011,0.996,0.004,0.9991,0.0009,0.998004,0.756824,0.999439,0.997812,0.994357,0.763217,0.999999,0.998664,34.509,20481502.0,3.738,0.000511,593.51,0.997,0.997,0.0005,0.0005,0.0,0.0,2120444.0,2.0,1.0,1.0,0.0,0.0,1.0,11847.0,7.161,0.2586,0.0037,0.3271,0.0286,0.2571,0.0037,18.125,0.3329,0.0002,0.8602,0.0054,1.0,0.0,0.8571,0.0055,0.7513,0.0015,0.894611,0.457698,0.977099,0.970941,0.785462,0.614218,0.999335,0.917235,234.373,138633519.0,6.265,0.938272,0.9822,0.0028,1.0,0.0,0.9815,0.0029,591.507,1.007276,6212.0,11122.0,4235870.0
4461.0,9334.0,4244362.0,4435.0,9287.0,1408668.0,11.365,64.522,11.365,64.522,176.143,418.929,9.171305,0.9942,0.0011,0.011,4147.0,31.645,0.995,0.0002,0.9901,0.0025,0.9958,0.0042,0.9892,0.0028,0.9981,0.0011,1.0,0.0,0.9978,0.0013,0.022,0.9976,0.0014,1.0,0.0,0.9971,0.0017,0.997591,0.755137,1.0,0.997175,0.992713,0.762835,1.0,0.998272,46.783,8240444.0,3.738,0.000511,176.143,0.9933,0.9933,0.0013,0.0013,0.0,0.0,2122181.0,2.0,1.0,1.0,0.0,0.0,1.0,11848.0,10.131,0.2589,0.0038,0.2882,0.0299,0.2584,0.0038,18.125,0.3319,0.0002,0.8608,0.0055,0.9851,0.0148,0.8587,0.0055,0.7545,0.0015,0.893765,0.456982,0.97447,0.969981,0.787398,0.614007,0.999234,0.917937,320.601,134309218.0,6.265,0.938272,0.9804,0.003,1.0,0.0,0.9798,0.0031,418.929,1.007276,4461.0,9334.0,4244362.0
7878.0,16024.0,7229630.0,8040.0,16182.0,1450274.0,46.913,63.282,46.914,62.107,741.322,739.318,9.171305,1.0004,0.0,0.011,7538.0,31.645,0.9999,0.0001,0.9891,0.002,1.0,0.0,0.9875,0.0023,0.9981,0.0008,1.0,0.0,0.9977,0.001,0.022,0.9976,0.0011,0.9973,0.0027,0.9977,0.0012,0.998127,0.758821,0.999662,0.998626,0.993772,0.764886,1.0,0.998536,46.155,34215767.0,3.738,0.000511,741.322,1.0014,1.0014,0.0,0.0,0.0,0.0,2409973.0,3.0,1.0,1.0,0.0,0.0,1.0,11849.0,9.779,0.257,0.0037,0.346,0.0239,0.2542,0.0037,18.125,0.2006,0.0001,0.856,0.0054,1.0,0.0,0.8511,0.0056,0.7543,0.0015,0.895651,0.461916,0.976171,0.96988,0.786537,0.620297,0.999282,0.918947,309.456,228786308.0,6.265,0.938272,0.9846,0.0026,0.993,0.007,0.984,0.0028,739.318,1.007276,7878.0,16024.0,7229630.0
6352.0,12594.0,5396797.0,8082.0,14336.0,1085661.0,35.051,58.784,35.084,36.004,596.266,596.266,9.171305,1.0004,0.0,0.011,7669.0,31.645,0.8746,0.0002,0.9906,0.0021,1.0,0.0,0.9887,0.0025,0.9976,0.0011,1.0,0.0,0.9971,0.0013,0.021,0.9975,0.0012,0.9967,0.0033,0.9977,0.0013,0.997474,0.752863,0.999569,0.999143,0.990752,0.76087,1.0,0.997789,43.102,25700269.0,3.738,0.000511,596.266,0.8283,0.8283,0.0033,0.0033,0.0,0.0,1799823.0,3.0,1.0,1.0,0.0,0.0,1.0,11850.0,9.051,0.252,0.0042,0.3689,0.0266,0.2483,0.0043,18.125,0.2011,0.0002,0.8582,0.0063,1.0,0.0,0.8526,0.0065,0.7486,0.0017,0.894825,0.45913,0.976692,0.969981,0.786095,0.61651,0.9993,0.91797,287.637,171507885.0,6.265,0.938272,0.9817,0.0034,1.0,0.0,0.9804,0.0036,596.266,1.007276,6352.0,12594.0,5396797.0
3525.0,7513.0,3408199.0,3416.0,7286.0,1101271.0,22.076,66.892,22.076,66.892,330.027,330.027,9.171305,0.9691,0.0029,0.011,3188.0,31.645,0.9698,0.0003,0.9919,0.0025,1.0,0.0,0.9905,0.003,0.9968,0.0016,1.0,0.0,0.9962,0.0019,0.023,1.0,0.0,1.0,0.0,1.0,0.0,0.996247,0.738307,0.999271,0.998608,0.987198,0.749471,0.999999,0.996793,48.355,15958475.0,3.738,0.000511,330.027,0.9693,0.9693,0.003,0.003,0.0,0.0,1704100.0,2.0,1.0,1.0,0.0,0.0,1.0,11859.0,10.327,0.2482,0.0043,0.3547,0.0365,0.2464,0.0043,18.125,0.3231,0.0003,0.8389,0.0067,1.0,0.0,0.8355,0.0068,0.7529,0.0017,0.894692,0.460034,0.975631,0.968495,0.787484,0.618252,0.999232,0.918872,326.148,107637532.0,6.265,0.938272,0.9798,0.0036,1.0,0.0,0.9789,0.0038,330.027,1.007276,3525.0,7513.0,3408199.0
9633.0,18238.0,7520774.0,11871.0,20474.0,1512382.0,49.058,53.691,49.08,43.262,913.704,909.698,9.171305,1.0001,0.0,0.011,11302.0,31.645,0.9993,0.0001,0.9903,0.0018,0.998,0.002,0.9887,0.0022,0.9979,0.0009,1.0,0.0,0.9975,0.001,0.02,0.9969,0.0012,1.0,0.0,0.9962,0.0014,0.997557,0.741495,0.99872,0.998722,0.992873,0.748731,0.999998,0.998209,39.257,35869426.0,3.738,0.000511,913.704,0.9997,0.9997,0.0002,0.0002,0.0,0.0,2508282.0,3.0,1.0,1.0,0.0,0.0,1.0,11860.0,8.267,0.2475,0.0036,0.3282,0.022,0.2449,0.0036,18.125,0.201,0.0001,0.8539,0.0055,1.0,0.0,0.8487,0.0056,0.752,0.0014,0.898084,0.465389,0.976082,0.971542,0.790865,0.620534,0.999319,0.92064,264.79,240878941.0,6.265,0.938272,0.9806,0.0029,1.0,0.0,0.9793,0.0031,909.698,1.007276,9633.0,18238.0,7520774.0
4679.0,9637.0,4471388.0,6870.0,11842.0,898990.0,28.953,65.866,28.969,43.903,439.57,439.57,9.171305,0.9994,0.0003,0.011,6573.0,31.645,1.0,0.0002,0.9893,0.0025,1.0,0.0,0.988,0.0029,0.9964,0.0015,1.0,0.0,0.9957,0.0017,0.022,0.9969,0.0015,1.0,0.0,0.9963,0.0018,0.99756,0.73857,1.0,0.998326,0.992104,0.745697,1.0,0.997992,48.239,21204421.0,3.738,0.000511,439.57,0.9993,0.9993,0.0003,0.0003,0.0,0.0,1491326.0,3.0,1.0,1.0,0.0,0.0,1.0,11861.0,10.172,0.2462,0.0047,0.3882,0.0317,0.2421,0.0047,18.125,0.2009,0.0002,0.8432,0.0073,0.9892,0.0107,0.8375,0.0075,0.7547,0.0019,0.89333,0.456032,0.974718,0.971508,0.784388,0.613958,0.99928,0.916765,321.375,141266721.0,6.265,0.938272,0.9807,0.0038,0.9897,0.0103,0.9799,0.0041,439.57,1.007276,4679.0,9637.0,4471388.0
3038.0,5354.0,2018635.0,3848.0,6165.0,404940.0,13.446,46.543,13.466,36.277,288.901,288.901,9.171305,0.9974,0.0008,0.011,3689.0,31.645,0.9966,0.0003,0.987,0.0041,1.0,0.0,0.9843,0.0049,0.9974,0.0019,0.9926,0.0073,0.9984,0.0016,0.019,0.9951,0.0028,0.975,0.0143,1.0,0.0,0.997663,0.766399,0.998852,0.995392,0.995475,0.774336,0.999995,0.998979,34.696,10023623.0,3.738,0.000511,288.901,0.9965,0.9965,0.0009,0.0009,0.0,0.0,673757.0,3.0,1.0,1.0,0.0,0.0,1.0,11863.0,6.987,0.2544,0.0068,0.3281,0.0415,0.2518,0.0069,18.125,0.2003,0.0003,0.8655,0.0099,1.0,0.0,0.8605,0.0102,0.7435,0.0028,0.868816,0.434144,0.977636,0.901566,0.788753,0.624479,0.997799,0.920672,229.318,66250088.0,6.265,0.938272,0.9885,0.0043,1.0,0.0,0.9877,0.0046,288.901,1.007276,3038.0,5354.0,2018635.0
5163.0,9747.0,4097362.0,7636.0,12233.0,823883.0,26.695,54.114,26.713,36.189,493.317,489.315,9.171305,0.9995,0.0003,0.011,7352.0,31.645,0.9989,0.0002,0.9903,0.0026,1.0,0.0,0.9884,0.0031,0.9972,0.0014,1.0,0.0,0.9966,0.0017,0.02,0.9973,0.0016,0.9948,0.0052,0.9978,0.0016,0.996376,0.712882,0.998793,0.998786,0.989415,0.722256,0.999999,0.99706,39.85,19658463.0,3.738,0.000511,493.317,0.9992,0.9992,0.0003,0.0003,0.0,0.0,1366977.0,3.0,1.0,1.0,0.0,0.0,1.0,11864.0,8.374,0.2548,0.0049,0.3393,0.0316,0.2524,0.005,18.125,0.2009,0.0002,0.8457,0.0074,1.0,0.0,0.8406,0.0076,0.7504,0.002,0.884154,0.44712,0.976595,0.941566,0.79199,0.613959,0.998632,0.9197,267.786,131031386.0,6.265,0.938272,0.98,0.0041,1.0,0.0,0.9787,0.0044,489.315,1.007276,5163.0,9747.0,4097362.0
5272.0,10801.0,4908313.0,5582.0,11103.0,983700.0,31.557,63.946,31.559,60.044,493.491,493.491,9.171305,0.9982,0.0006,0.011,5228.0,31.645,0.9984,0.0002,0.9904,0.0023,0.9968,0.0032,0.9898,0.0026,0.996,0.0015,0.9968,0.0032,0.9959,0.0017,0.022,0.9956,0.0018,0.9886,0.0065,0.9973,0.0016,0.997634,0.744251,0.998984,0.997984,0.993561,0.751351,0.999998,0.998399,46.523,22958478.0,3.738,0.000511,493.491,0.9982,0.9982,0.0006,0.0006,0.0,0.0,1636234.0,3.0,1.0,1.0,0.0,0.0,1.0,11865.0,9.946,0.2528,0.0045,0.3658,0.0279,0.249,0.0045,18.125,0.2004,0.0002,0.8545,0.0067,1.0,0.0,0.8485,0.007,0.755,0.0018,0.89601,0.461072,0.974954,0.97228,0.788037,0.617229,0.999306,0.918867,311.863,153901437.0,6.265,0.938272,0.9861,0.0031,0.99,0.0099,0.9859,0.0032,493.491,1.007276,5272.0,10801.0,4908313.0
