(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_EL-REAL_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM1_Beam_Cut_Charge,BCM1_Beam_Cut_Current,BCM1_Charge,BCM1_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_EL-REAL_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_Aero_ALL_Elec_Eff,SHMS_Aero_ALL_Elec_Eff_ERROR,SHMS_Aero_SING_Elec_Eff,SHMS_Aero_SING_Elec_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_Cal_SING_Elec_Eff,SHMS_Cal_SING_Elec_Eff_ERROR,SHMS_EL-REAL_Trigger_Rate,SHMS_Elec_ALL_TRACK_EFF,SHMS_Elec_ALL_TRACK_EFF_ERROR,SHMS_Elec_SING_TRACK_EFF,SHMS_Elec_SING_TRACK_EFF_ERROR,SHMS_HGC_ALL_Elec_Eff,SHMS_HGC_ALL_Elec_Eff_ERROR,SHMS_HGC_SING_Elec_Eff,SHMS_HGC_SING_Elec_Eff_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Run_Length,Target_Mass_(amu),Total_HMS_EL-REAL_Triggers,Total_SHMS_EL-REAL_Triggers
48104115.0,641326402.0,783809.0,1151209.0,39.863,67.764,39.863,67.764,588.261,585.976,9.172705,7029.0,12.505,0.0163,0.0,0.9823,0.0002,0.9840000000000001,0.0002,0.9614,0.0003,0.9618,0.0003,82.09200000000001,0.9955,0.0027,0.9955,0.0027,0.992592,0.758749,0.993074,0.989959,0.983467,0.784764,0.9999299999999999,0.996441,442.47900000000004,260292972.0,4.1,0.0005110000000000001,588.261,0.0185,0.0185,0.0002,0.0002,740063.0,625684.0,1.0,1025.0,1.0,65.0,1.0,1.0,12126.0,0.9933,0.003,0.9931,0.0002,7.505,0.0018,0.0,1e+38,1e+38,1094.4589999999996,0.9423,0.0037,0.9523,0.005,0.8157,0.0032,0.8085,0.0009,0.8997700000000001,0.5254800000000001,0.8912969999999999,0.885983,0.8923530000000001,0.745713,0.987606,0.972627,3108.741,1821647322.0,5.27,0.0005110000000000001,585.976,1.007276,48104115.0,641326402.0
39690068.0,539677413.0,644018.0,918841.0,32.425,53.082,32.425,53.082,610.846,610.846,9.172705,7146.0,12.505,0.0162,0.0,0.9836,0.0002,0.9851,0.0002,0.9651,0.0003,0.9655,0.0003,64.976,0.9961,0.003,0.9961,0.003,0.993642,0.764917,0.994363,0.991719,0.984661,0.787759,0.999953,0.996744,351.153,214500548.0,4.1,0.0005110000000000001,610.846,0.018000000000000002,0.018000000000000002,0.0002,0.0002,610616.0,526515.0,1.0,1025.0,1.0,65.0,1.0,1.0,12128.0,0.9944,0.0032,0.9944,0.0002,7.505,0.0017,0.0,1e+38,1e+38,883.492,0.9543,0.0038,0.9616,0.005,0.8464,0.0033,0.8397,0.0009,0.926325,0.5832350000000001,0.911866,0.90603,0.909655,0.776055,0.991718,0.979768,2532.078,1546709943.0,5.27,0.0005110000000000001,610.846,1.007276,39690068.0,539677413.0
27902671.0,386510126.0,467461.0,982582.0,22.608,37.083,22.608,37.083,609.665,609.665,9.172705,7562.0,12.505,0.0168,0.0,0.9833,0.0003,0.9856,0.0003,0.9688,0.0004,0.9693,0.0004,45.766999999999996,0.9967,0.0035,0.9967,0.0036,0.9949610000000001,0.771587,0.995813,0.994352,0.9862700000000001,0.790081,0.999976,0.9971180000000001,247.512,150899688.0,4.1,0.0005110000000000001,609.665,0.0191,0.0191,0.0002,0.0002,429272.0,753431.0,1.0,513.0,1.0,65.0,1.0,1.0,12129.0,0.9955,0.0028,0.9956,0.0001,7.505,0.0025,0.0,1e+38,1e+38,633.971,0.9688,0.0034,0.9706,0.0037,0.8794,0.0029,0.8771,0.0007,0.945751,0.632428,0.929873,0.9247559999999999,0.924226,0.79576,0.9947229999999999,0.984524,1831.761,1116760844.0,5.27,0.0005110000000000001,609.665,1.007276,27902671.0,386510126.0
17774486.0,252489819.0,553388.0,700340.0,14.367,23.958,14.367,23.958,599.6759999999998,599.6759999999998,9.172705,6724.0,12.505,0.0311,0.0,0.986,0.0002,0.9867,0.0002,0.973,0.0003,0.9733,0.0003,29.64,0.9967,0.0031,0.9967,0.0031,0.99613,0.780043,0.997223,0.996142,0.988037,0.794752,0.999989,0.997545,161.333,96747775.0,4.1,0.0005110000000000001,599.6759999999998,0.0339,0.0339,0.0004,0.0004,538621.0,492183.0,1.0,513.0,1.0,33.0,1.0,1.0,12130.0,0.9961,0.0032,0.9963,0.0002,7.505,0.0028,0.0,1e+38,1e+38,421.044,0.9773,0.0037,0.9792,0.0042,0.9153,0.0033,0.9143,0.0007,0.975047,0.743142,0.956195,0.9506,0.947107,0.863233,0.997836,0.992766,1226.457,735476631.0,5.27,0.0005110000000000001,599.6759999999998,1.007276,17774486.0,252489819.0
8683630.0,124395567.0,267072.0,301609.0,6.875,11.423,6.875,11.423,601.862,601.862,9.172705,6525.0,12.505,0.0308,0.0,0.9865,0.0003,0.9869,0.0003,0.9758,0.0004,0.9759,0.0004,14.427999999999999,0.9977,0.0045,0.9977,0.0045,0.997052,0.784471,0.998735,0.9979030000000001,0.9890389999999999,0.7958390000000001,0.9999969999999999,0.997762,78.232,47084948.0,4.1,0.0005110000000000001,601.862,0.0329,0.0329,0.0004,0.0004,263140.0,242486.0,1.0,513.0,1.0,33.0,1.0,1.0,12131.0,0.9977,0.0045,0.9977,0.0002,7.505,0.0024,0.0,1e+38,1e+38,206.685,0.9845,0.0051,0.9849,0.0054,0.9486,0.0046,0.9486,0.0007,0.9905309999999999,0.8357829999999999,0.976593,0.971339,0.967297,0.910855,0.9993290000000001,0.997085,606.0790000000002,364775500.0,5.27,0.0005110000000000001,601.862,1.007276,8683630.0,124395567.0
12525560.0,178541333.0,387610.0,464052.0,9.979,13.565,9.979,13.565,735.62,735.62,9.172705,7919.0,12.505,0.0309,0.0,0.9865,0.0003,0.987,0.0003,0.9742,0.0004,0.9743,0.0004,17.027,0.9972,0.0037,0.9972,0.0037,0.996569,0.7822520000000001,0.997895,0.997018,0.988507,0.795388,0.999994,0.997648,92.216,67835666.0,4.1,0.0005110000000000001,735.62,0.0326,0.0326,0.0004,0.0004,379562.0,348034.0,1.0,513.0,1.0,33.0,1.0,1.0,12132.0,0.9969,0.0038,0.997,0.0002,7.505,0.0026,0.0,1e+38,1e+38,242.709,0.9817,0.0043,0.9825,0.0047,0.9326,0.0039,0.932,0.0007,0.98391,0.790135,0.966791,0.962311,0.956598,0.887817,0.998748,0.995131,707.813,520680795.0,5.27,0.0005110000000000001,735.62,1.007276,12525560.0,178541333.0
5845553.0,83373536.0,179251.0,192964.0,4.548,7.58,4.548,7.58,600.012,600.012,9.172705,6461.0,12.505,0.0307,0.0,0.9865,0.0004,0.9867,0.0004,0.9762,0.0005,0.9762,0.0005,9.742,0.9978,0.0055,0.9978,0.0055,0.9974290000000001,0.784671,0.9989110000000001,0.998417,0.990241,0.7945260000000001,0.9999979999999999,0.9979950000000001,52.482,31489521.0,4.1,0.0005110000000000001,600.012,0.0326,0.0326,0.0004,0.0004,177138.0,162522.0,1.0,513.0,1.0,33.0,1.0,1.0,12133.0,0.9984,0.0056,0.9984,0.0002,7.505,0.0023,0.0,1e+38,1e+38,138.953,0.9878,0.0062,0.988,0.0064,0.96,0.0056,0.9602,0.0008,0.9943299999999999,0.871606,0.9834290000000001,0.9793280000000001,0.9720989999999999,0.930976,0.999657,0.998074,407.659,244599848.0,5.27,0.0005110000000000001,600.012,1.007276,5845553.0,83373536.0
3700317.0,53992827.0,414021.0,462701.0,2.907,4.7010000000000005,2.907,4.7010000000000005,618.304,618.304,9.172705,6830.0,12.505,0.1119,0.0,0.9871,0.0003,0.9874,0.0003,0.9777,0.0003,0.9778,0.0003,5.985,0.9977,0.0036,0.9977,0.0036,0.997559,0.785345,0.999246,0.998621,0.990305,0.794728,0.999999,0.99801,32.912,20349490.0,4.1,0.0005110000000000001,618.304,0.1222,0.1222,0.0014,0.0014,411146.0,418549.0,1.0,129.0,1.0,9.0,1.0,1.0,12135.0,0.9983,0.0035,0.9984,0.0001,7.505,0.0086,0.0,1e+38,1e+38,87.324,0.9888,0.0038,0.9888,0.0039,0.9677,0.0035,0.9679,0.0004,0.996659,0.900185,0.989148,0.984717,0.976745,0.946189,0.999834,0.998749,257.055,158938524.0,5.27,0.0005110000000000001,618.304,1.007276,3700317.0,53992827.0
2383601.0,34831999.0,478581.0,568884.0,1.84,2.7769999999999997,1.84,2.7769999999999997,662.5269999999998,662.5269999999998,9.172705,7170.0,12.505,0.2008,0.0,0.9871,0.0002,0.9871,0.0002,0.9774,0.0003,0.9775,0.0003,3.5980000000000003,0.9977,0.0033,0.9977,0.0033,0.9977,0.785829,0.999423,0.9991540000000001,0.9902620000000001,0.794687,1.0,0.998001,19.941,13211604.0,4.1,0.0005110000000000001,662.5269999999998,0.2163,0.2163,0.0023,0.0023,476720.0,535877.0,1.0,65.0,1.0,5.0,1.0,1.0,12137.0,0.9985,0.0031,0.9985,0.0001,7.505,0.0163,0.0,1e+38,1e+38,52.574,0.9897,0.0034,0.9897,0.0034,0.9728,0.0031,0.973,0.0004,0.997765,0.9179999999999999,0.9919950000000001,0.9873799999999999,0.9800989999999999,0.956267,0.999899,0.99913,155.102,102759099.0,5.27,0.0005110000000000001,662.5269999999998,1.007276,2383601.0,34831999.0
9551652.0,138348615.0,570523.0,661103.0,7.645,11.473,7.645,11.473,666.337,666.337,9.172705,7088.0,12.505,0.0597,0.0,0.9871,0.0002,0.9875,0.0002,0.976,0.0003,0.9761,0.0003,14.335,0.9974,0.003,0.9974,0.003,0.997169,0.790325,0.998463,0.998001,0.989387,0.801635,0.999997,0.997895,78.189,52100304.0,4.1,0.0005110000000000001,666.337,0.0626,0.0626,0.0007,0.0007,561862.0,538321.0,1.0,257.0,1.0,17.0,1.0,1.0,12140.0,0.998,0.0031,0.998,0.0001,7.505,0.0048,0.0,1e+38,1e+38,207.625,0.9851,0.0034,0.9855,0.0036,0.9496,0.0031,0.95,0.0005,0.990391,0.835815,0.976392,0.971523,0.964647,0.913407,0.999328,0.996939,608.063,405175360.0,5.27,0.0005110000000000001,666.337,1.007276,9551652.0,138348615.0
