COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,52069,,0.999971664238902,0.014047823311047,-1,,1211,885604,1555791,65,0.983480463456097,0.002663236301012,0.9987,0.0189,,1025,,65,,,0.996753925100888,1.28471817188516E-34,,12109395,15361934,1025,0.983480463456097,0.002663236301012,0.9835,0.0217,609,,,,,3780.14822431875,1.00036215487959,9250,9057,326,6823,6465,283,12143,35593,581.775264540338,54.759965,26362
,566824,,0.999251752039937,0.001535616996437,-1,,77603,18686734,33228619,17,0.983480428244735,0.001234244358757,0.9975,0.0021,,257,,17,,,0.996773733136509,5.74745569843521E-40,22,262292272,333009407,257,0.983480428244735,0.001234244358757,0.9855,0.0023,12468,,,,,82134.4769199364,1.00036269014082,747580,728447,6490,576113,547288,5979,12144,203789,12733.8972304875,1191.5746,2129563
,434130,,0.999719178177145,0.001721945525865,-1,,64253,14863183,26390911,17,0.986909321265071,0.00116284459476,0.9976,0.0023,,257,,17,,,0.997954543540546,7.18964101511656E-40,21,208919393,264352806,257,0.986909321265071,0.00116284459476,0.9866,0.0026,12471,,,,,64960.2834295422,1.00045764781695,593116,577699,6478,458630,436337,5994,12145,202122,12629.7335774777,1189.157276,1695709
,248135,,0.99830601224933,0.001407072705931,-1,,89667,11394816,20265680,9,0.990537132876391,0.001054085308653,0.9976,0.002,,129,,9,,,0.99892511823594,7.62969415541449E-40,52,161471812,203727682,129,0.990537132876391,0.001054085308653,0.9878,0.0021,13016,,,,,50099.2900494851,1.00063155968865,856533,834387,6568,698190,665494,6448,12147,113866,13436.3841515935,1265.627681,2517535
,114797,,0.997180561977281,0.001318311190888,-1,,93293,6835105,12166401,5,0.994101579367165,0.0009438517662,0.9977,0.0019,,65,,5,,,0.999578558064282,1.39994831372412E-39,95,97520493,122619682,65,0.994101579367165,0.0009438517662,0.9894,0.0019,12896,,,,,30112.8892934403,1.00101162212394,925960,902047,6174,828587,791248,6725,12148,60891,12927.6276923077,1218.514601,2865250
,92446,,0.998270102524802,0.001537189296876,-1,,70583,5041973,8959488,5,0.995753921932211,0.000864375336228,0.9978,0.0022,,65,,5,,,0.999781674152061,1.7698161502582E-39,100,71793704,90165345,65,0.995753921932211,0.000864375336228,0.9899,0.0023,13165,,,,,22108.2415926693,1.0014086618499,679601,662281,6278,609609,582657,6893,12150,62186,13202.5661538462,1245.72146,2109259
,54877,,0.997992226644109,0.001368235611594,-1,,75340,3523016,6260214,3,0.997172122093666,0.000771068055704,0.9978,0.002,,33,,3,,,0.999902623893169,2.18063239451176E-39,206,50259859,63052056,33,0.997172122093666,0.000771068055704,0.9906,0.0019,13766,,,,,15436.8732159052,1.00211546564471,794318,773950,6038,838653,802071,7730,12151,39173,13849.0404040404,1306.246998,2701456
,33667,,0.998209151197858,0.001525421668131,-1,,91267,2305455,4094912,2,0.998113642416693,0.00069966410908,0.9978,0.002,,33,,2,,,0.999956344025637,3.49764500232046E-39,168,32934996,41339251,33,0.998113642416693,0.00069966410908,0.9907,0.0024,13069,,,,,10091.8911687198,1.00317596270007,780617,760820,7038,554391,530351,6034,12152,25573,13173.9696969697,1282.058797,2155642
,16757,,0.997232398262732,0.001372143764653,-1,,114509,1443632,2567414,1,0.998805381464122,0.000625697390668,0.9978,0.0018,,17,,1,,,0.999982816227236,5.50685069522296E-39,329,20648284,25900848,17,0.998805381464122,0.000625697390668,0.9911,0.0021,12788,,,,,6306.85916307792,1.00509436002838,974931,949716,6950,671523,642997,5842,12153,12808,12808,1285.176449,2655208
,13773,,0.998009412360274,0.001563437762269,-1,,48263,823154,1463573,1,0.999268708271064,0.000563899375392,0.9979,0.0024,,9,,1,,,0.999993719294099,1.14047552941875E-38,859,11721141,14704533,9,0.999268708271064,0.000563899375392,0.9913,0.0021,12130,,,,,3562.36561828467,1.00852280877464,554663,540463,4683,718159,687598,7452,12154,12103,12103,1214.454438,2130432
